gen best mean std
0 37.960689 -3.696324 7.748372
1 37.960689 -0.763377 10.33352
2 37.960689 -1.522179 10.052387
3 56.453772 0.703469 13.65089
4 56.553321 7.867511 19.075947
5 56.725136 13.724277 17.376889
6 56.275717 9.650521 16.889143
7 70.425388 13.158337 19.635689
8 70.451671 15.721748 20.261878
9 70.451671 17.174995 19.124741
10 73.629684 19.710781 21.27698
11 77.650016 23.001247 22.752208
12 77.819674 22.57673 24.473373
13 85.951953 27.73428 22.819789
14 86.012193 20.819712 24.339379
15 86.012193 22.86778 24.28402
16 86.012193 25.610339 24.902317
17 86.012193 25.91044 23.202864
18 86.012193 26.226448 23.151936
19 86.012193 26.375038 22.437737
20 86.012193 22.942577 23.629115
21 65.973111 21.273991 22.336441
22 70.49733 26.453237 24.31491
23 70.49733 31.569614 23.85752
24 70.49733 27.790579 24.401088
25 65.973111 25.523944 22.453595
26 86.315632 26.928808 21.008162
27 86.315632 28.362483 23.219319
28 77.565842 24.065334 22.980206
29 77.565842 27.887654 21.047914
30 77.565842 23.039311 22.088338
31 63.848407 25.392844 18.520909
32 78.202479 27.402989 22.062593
33 78.202479 31.657167 19.836678
34 73.31148 29.70986 20.627885
35 67.402774 27.791143 21.146545
36 84.112669 32.772555 19.947824
37 87.893713 28.283425 22.492019
38 87.893713 32.593604 22.89739
39 87.893713 31.400943 22.212408
40 87.893713 33.313961 21.242924
41 85.334631 31.664461 20.395751
42 70.559016 32.090512 17.632543
43 84.909025 32.575579 19.220974
44 64.029396 28.361116 17.961251
45 63.946445 32.736104 19.349953
46 77.722526 34.348204 18.833167
47 85.647876 35.470717 20.19782
48 85.647876 40.087701 18.024861
49 64.150749 34.750502 18.80623
50 70.827836 37.510515 15.86316
