gen best mean std
0 35.337673 -2.693045 8.006857
1 42.483251 6.421419 16.56949
2 52.143236 8.41165 18.807216
3 52.143236 7.634456 19.192501
4 52.151521 10.849596 23.038775
5 52.151521 9.902642 22.876603
6 52.151521 10.327583 23.14742
7 52.151521 12.492407 23.349124
8 52.151521 15.87458 25.467426
9 52.424863 10.27376 22.16026
10 60.617072 10.81478 24.148277
11 60.681865 13.332319 25.808882
12 60.681865 18.02531 28.621035
13 60.681865 14.293045 27.309205
14 60.682948 12.944008 25.184505
15 60.831592 14.816525 26.291164
16 60.831592 17.227015 28.063844
17 60.831592 18.915822 27.926266
18 60.831592 16.774578 25.240698
19 60.831592 16.993489 25.041269
20 60.831592 19.519099 26.826292
21 60.831592 16.219877 28.183457
22 60.831592 14.883442 27.420323
23 60.831592 22.437765 27.888997
24 60.831592 21.430545 25.89793
25 60.831592 22.671336 27.506193
26 60.831592 20.538979 26.811575
27 60.831592 21.757526 27.472089
28 60.836032 25.374163 27.993719
29 60.836032 18.726697 25.036774
30 60.836032 20.659857 25.836196
31 60.836032 22.892959 26.653756
32 61.059298 27.966721 26.156187
33 60.836032 21.605501 23.928438
34 60.836032 24.213051 26.756094
35 60.836032 22.744385 26.573392
36 60.836032 25.711969 25.523742
37 60.836032 23.655017 22.937487
38 60.836032 24.972651 23.620348
39 60.836032 22.985546 23.936461
40 60.904569 27.386331 25.068263
41 60.836032 26.775523 24.097039
42 60.836032 23.559889 24.019414
43 60.836032 31.622482 25.074418
44 60.970553 30.600112 23.948403
45 60.970553 27.061048 22.838739
46 60.970553 26.498943 20.947041
47 60.970553 23.435686 20.069976
48 60.970553 24.906291 18.893433
49 60.970553 24.130019 21.865276
50 60.970553 22.82924 21.010581
