gen best mean std
0 20.977124 -5.016521 4.886967
1 48.947333 2.74941 13.533135
2 51.521297 5.009835 16.709742
3 63.607729 6.68004 16.717935
4 64.056382 6.756489 16.982575
5 64.056382 11.420476 17.942452
6 61.421928 13.29113 19.269382
7 63.828349 11.685312 18.321624
8 60.983052 12.594419 19.635646
9 60.983052 12.15963 20.081019
10 70.789158 13.555854 20.614513
11 70.941686 16.91089 20.355662
12 70.941686 19.382332 21.295048
13 70.789158 21.074394 20.788364
14 62.765209 16.016633 19.934777
15 63.573982 18.990468 17.951104
16 64.051991 18.159328 19.437589
17 55.505517 18.44347 17.632517
18 77.589973 17.799173 20.794683
19 77.589973 24.532833 21.213787
20 77.589973 20.883287 23.779467
21 85.920721 27.982058 24.917675
22 77.589973 25.522281 22.721908
23 85.465001 29.399398 24.136369
24 77.867403 23.9787 23.973175
25 86.166946 27.312322 23.164553
26 77.589973 28.060763 24.392376
27 83.954767 31.768679 22.405387
28 83.954767 28.803319 23.283651
29 71.382372 27.99885 21.304417
30 78.280088 28.688742 22.643284
31 78.299364 34.153319 23.131936
32 78.299364 29.464581 25.213226
33 77.601615 31.656963 25.971979
34 77.601615 35.154797 22.362931
35 86.961886 31.877768 24.045026
36 86.748843 34.586014 21.400066
37 86.748843 33.152765 24.028784
38 86.148996 32.628602 24.640051
39 86.148996 35.542294 23.78964
40 77.900839 35.494306 21.68303
41 77.900839 36.517869 18.771074
42 85.255733 32.849181 21.406906
43 77.98568 35.643516 21.231429
44 86.446502 35.713377 22.36014
45 86.823243 36.983933 24.070693
46 77.827168 33.227759 20.677582
47 78.405706 33.220803 21.612218
48 78.550055 39.631522 19.316456
49 87.174843 35.90412 21.10128
50 87.434808 36.224216 18.685341
