gen best mean std
0 66.634024 -1.598 12.964932
1 75.031292 14.517246 22.86132
2 84.145595 17.201564 25.181848
3 84.145595 17.765327 27.051575
4 84.145595 16.110651 28.483945
5 84.506611 18.965681 32.352815
6 88.026794 22.469931 32.570469
7 88.026794 25.122638 32.845049
8 88.026794 33.217933 35.380673
9 88.026794 31.583312 36.146432
10 88.026794 36.096725 37.834791
11 88.026794 22.849189 33.794492
12 88.026794 32.096606 36.098019
13 88.026794 31.262398 36.568368
14 88.036695 41.121444 36.681417
15 88.036695 37.012344 38.200181
16 88.699688 37.797901 40.570107
17 88.699688 37.842838 38.745697
18 89.223229 41.165107 35.663744
19 89.223229 35.613227 35.979132
20 89.223229 45.718234 36.455148
21 89.471732 42.128432 37.967543
22 89.471732 37.992686 37.013649
23 89.471732 46.693215 35.963429
24 89.476695 40.903921 36.725925
25 89.476695 50.964238 35.64353
26 89.476695 48.398481 35.538189
27 89.476695 45.460305 38.8793
28 89.476695 37.114648 38.53188
29 89.476695 47.06684 36.147436
30 89.476695 40.203398 35.759128
31 89.476695 40.499199 36.554943
32 89.476695 43.441829 36.647617
33 89.476695 40.766513 35.776979
34 89.476695 40.433604 34.122955
35 89.476695 40.165331 37.290725
36 89.476695 44.340729 37.072915
37 89.476695 45.428931 33.690444
38 89.476695 33.063194 29.096323
39 89.476695 45.160233 34.056919
40 89.476695 44.210314 30.292865
41 89.476695 38.433603 28.562116
42 89.476695 46.118207 30.809273
43 89.476695 45.788056 28.912479
44 89.476695 44.018907 29.884924
45 89.476695 39.401302 24.416561
46 89.476695 39.994452 27.370841
47 89.476695 37.285616 24.83113
48 89.476695 44.872646 24.450921
49 89.476695 37.655775 22.692839
50 89.476695 44.175206 23.061465
