gen best mean std
0 66.018586 1.568155 15.359219
1 87.044258 12.01444 20.427247
2 87.139358 20.618871 22.757016
3 75.021114 22.690311 22.874901
4 75.021114 19.946334 23.766896
5 87.227427 25.84773 25.949585
6 85.526267 30.454681 26.107389
7 84.890607 24.718484 25.569704
8 86.734547 30.717073 24.001101
9 87.079358 32.237978 24.096344
10 87.079358 33.212657 23.836076
11 85.393561 31.813785 27.424193
12 85.187427 33.155376 24.720994
13 75.021114 34.067556 23.65819
14 66.615505 32.16878 23.879731
15 87.209573 32.13324 24.258808
16 85.47289 36.293442 25.238617
17 86.126285 31.353087 23.521015
18 86.126285 29.49761 24.223936
19 86.126285 36.515904 24.539692
20 87.537882 40.621941 24.147448
21 87.139358 42.376817 25.384506
22 75.188859 37.958269 23.883983
23 75.008535 42.574465 22.462478
24 86.335744 35.730184 24.30571
25 85.946285 40.25279 24.027395
26 88.046695 43.088804 22.838277
27 88.046695 41.839522 24.764813
28 88.046695 43.211427 26.614726
29 87.139358 39.605763 25.142592
30 87.139358 40.206601 25.333833
31 86.997882 41.688291 24.625551
32 88.031732 42.937046 26.24335
33 85.326677 39.246062 25.430346
34 86.468738 33.623572 24.091624
35 88.279688 39.148054 25.12508
36 88.279688 44.129918 22.934358
37 88.279688 46.394152 22.891058
38 85.326677 39.037911 25.058528
39 88.451062 45.537942 22.529012
40 88.819688 42.454099 26.22527
41 87.33289 44.610159 25.115471
42 88.341683 48.988146 25.110046
43 88.668788 47.64897 25.075683
44 88.999688 48.626585 28.193609
45 88.701683 55.90424 23.945075
46 88.983246 54.631345 25.438491
47 89.226794 52.919724 24.881486
48 89.481683 51.652304 24.995944
49 87.253573 50.071231 25.001511
50 88.923246 57.563099 25.527958
