gen best mean std
0 27.612981 -4.181288 5.864236
1 49.722412 3.557471 13.824986
2 51.423558 4.49734 16.469602
3 63.420093 5.238517 17.626311
4 70.365019 12.636345 23.33438
5 70.365019 17.999917 22.225929
6 86.405784 16.56357 24.765457
7 88.51031 23.935632 25.928532
8 86.521048 22.908672 25.517755
9 86.398401 23.671887 24.370374
10 86.398401 23.607401 26.253634
11 86.398401 23.591686 26.413955
12 86.454989 24.990732 27.291217
13 86.398401 28.160104 25.608905
14 85.223882 25.15895 26.16023
15 85.223882 24.454418 23.822435
16 85.223882 25.988213 24.552204
17 85.223882 27.382734 25.129537
18 85.894238 28.670729 24.197098
19 85.223882 25.390421 25.174358
20 85.596513 24.746633 25.147821
21 78.163137 25.411456 23.584908
22 78.163137 29.755684 25.972941
23 78.163137 26.579422 24.496572
24 78.163137 28.222692 23.904116
25 78.163137 31.17653 23.174301
26 77.767296 29.821012 24.110232
27 77.767296 28.590383 22.309944
28 77.767296 29.254762 23.042617
29 70.819268 31.965205 24.388864
30 71.229528 27.03239 23.124721
31 70.050474 24.037152 20.31275
32 86.737351 23.332375 23.616806
33 86.737351 31.780783 23.4151
34 86.737351 33.097623 25.404095
35 86.737351 26.719691 26.124259
36 88.083389 31.508085 23.237804
37 78.131638 27.958458 22.862122
38 78.131638 29.399014 23.013724
39 78.131638 29.621179 21.393632
40 84.582893 34.339362 21.02714
41 87.74225 34.769773 21.500346
42 85.153833 34.841401 20.693173
43 77.191263 34.9061 18.632042
44 85.769235 34.571343 22.14839
45 85.699095 32.504364 20.691065
46 86.418509 32.718281 20.636049
47 84.592847 34.369985 21.873575
48 86.1489 36.917425 21.079495
49 87.066593 34.229385 21.632024
50 86.139105 39.187274 18.99543
