gen best mean std
0 66.431655 1.016033 14.351326
1 75.200907 51.317203 17.938933
2 75.200907 54.891603 19.485131
3 75.200907 52.579148 19.803275
4 75.200907 55.634325 18.285859
5 75.200907 56.362351 18.247512
6 75.200907 56.161672 19.966619
7 75.200907 56.529338 19.071655
8 86.227846 55.007755 19.176163
9 86.882547 58.029462 18.767267
10 87.624051 60.357235 21.03108
11 87.624051 70.612916 19.317935
12 87.624051 69.328808 19.639815
13 87.624051 66.158872 20.566094
14 87.624051 68.338237 21.045132
15 87.624051 71.123576 19.264788
16 87.624051 68.929035 20.375343
17 87.624051 68.862769 20.452353
18 87.624051 70.462876 19.230942
19 87.624051 68.930292 20.150312
20 87.624051 72.895896 19.32183
21 87.624051 69.742271 20.760424
22 87.624051 67.939948 19.700544
23 87.624051 69.044249 18.682617
24 87.624051 70.756288 19.398329
25 87.624051 70.279158 18.982981
26 87.624051 70.692624 19.095593
27 87.624051 69.628031 21.034806
28 87.624051 71.210458 19.637112
29 87.624051 68.437137 20.464234
30 87.624051 75.652099 17.117016
31 87.624051 68.685048 20.368423
32 87.624051 75.053371 16.653525
33 87.624051 69.069242 20.451396
34 87.624051 70.441839 19.741949
35 87.624051 67.485073 20.875381
36 87.624051 69.905127 18.752271
37 87.624051 71.163015 19.78363
38 87.624051 72.301922 18.957625
39 87.624051 69.394353 20.576515
40 87.624051 70.242026 19.454568
41 87.624051 72.546687 18.156809
42 87.627846 70.169102 20.105682
43 87.627846 69.425222 20.043221
44 87.627846 70.640322 18.558966
45 87.627846 69.289477 18.806832
46 87.627846 75.150174 16.318175
47 87.627846 71.464356 18.183852
48 87.627846 69.78282 17.886392
49 87.627846 68.088324 19.494902
50 87.627846 69.639689 17.996417
