gen best mean std
0 66.427846 0.007687 14.249283
1 84.428738 20.80729 28.164234
2 87.624051 38.318037 25.661843
3 86.209685 39.463115 25.303139
4 89.567552 40.35504 25.9401
5 89.567552 48.554274 25.750794
6 87.627846 46.629605 26.891781
7 87.627846 48.934081 29.307893
8 87.627846 53.244606 24.373604
9 87.627846 54.389298 24.307055
10 87.627846 55.806836 22.804019
11 90.647427 52.519543 27.096672
12 88.497367 51.319802 27.777903
13 90.39141 57.033855 25.069788
14 90.39141 60.332146 26.944961
15 90.39141 51.885578 28.740903
16 90.39141 57.439332 26.941304
17 90.39141 48.429482 29.387589
18 90.411736 52.690516 28.520696
19 90.411736 51.064727 32.176705
20 90.411736 52.928494 33.157572
21 90.411736 51.674899 29.559699
22 90.411736 51.296553 31.350219
23 90.411736 61.903937 26.007681
24 90.783843 59.238769 26.774258
25 90.783843 59.946228 26.953477
26 90.783843 57.958234 27.564989
27 90.783843 58.555637 26.361301
28 90.783843 59.472679 30.042015
29 90.783843 61.095824 26.405285
30 90.783843 56.209992 29.802392
31 90.783843 58.166786 26.098591
32 90.783843 63.128712 28.551591
33 90.783843 58.699239 27.946408
34 90.783843 62.778442 26.635561
35 90.783843 59.70435 26.693631
36 90.783843 60.214212 27.198608
37 90.783843 56.22884 25.003749
38 90.783843 57.450634 27.10014
39 90.783843 58.000458 27.019682
40 90.783843 57.975766 28.444569
41 90.783843 59.283299 26.185237
42 90.783843 55.884425 25.850132
43 91.618586 56.237496 27.741731
44 91.618586 51.024544 27.585394
45 91.618586 61.009347 24.6655
46 91.618586 57.42396 27.224934
47 91.618586 56.497799 26.077386
48 91.618586 56.901492 23.649263
49 91.618586 59.755392 23.427719
50 91.618586 61.89708 23.375116
