gen best mean std
0 66.273152 3.55912 18.482283
1 91.896393 57.247806 15.632512
2 75.43548 49.493792 24.291208
3 75.43548 55.954877 19.391699
4 75.43548 58.117456 15.893244
5 75.474547 55.036862 17.311759
6 75.458736 57.010642 16.505544
7 75.458736 57.174507 17.235437
8 75.458736 60.432066 17.182677
9 75.458736 59.498886 17.477382
10 75.458736 59.203296 18.752038
11 75.458736 58.524705 18.544827
12 92.136393 62.897099 15.83478
13 75.458736 57.707567 18.84223
14 75.458736 64.075219 15.278301
15 75.458736 64.825114 16.566062
16 75.458736 60.390478 17.951001
17 75.458736 60.46414 17.511791
18 75.458736 60.594948 17.514214
19 75.458736 60.867219 17.673136
20 75.458736 61.020857 17.130832
21 75.458736 61.446986 17.383821
22 75.458736 58.533431 19.422313
23 75.458736 56.59953 19.744954
24 75.458736 60.285307 18.090888
25 75.458736 60.821859 17.494915
26 75.458736 60.519728 17.341206
27 75.458736 62.929566 16.221449
28 75.458736 62.011054 16.842785
29 75.458736 61.99616 17.195677
30 75.458736 60.479457 17.743098
31 75.458736 60.833927 17.029599
32 75.458736 61.551747 16.965937
33 75.458736 60.77008 18.071834
34 75.458736 61.018536 17.60215
35 75.458736 62.173686 17.298234
36 75.458736 62.632956 17.61336
37 75.458736 61.211913 17.177234
38 75.458736 60.227986 18.206376
39 75.458736 58.598573 19.775533
40 75.458736 62.482291 16.514971
41 75.458736 59.396575 17.536665
42 75.458736 61.630103 17.750786
43 75.672124 61.84408 17.340329
44 94.127345 59.879674 18.195317
45 94.127345 59.094852 20.614811
46 94.127345 63.389609 21.136167
47 94.127345 68.897209 22.049124
48 94.127345 65.039327 23.492398
49 94.127345 69.646249 24.235663
50 94.127345 61.580019 23.987319
