gen best mean std
0 39.716796 -3.604559 7.047567
1 57.498742 -0.199394 10.299684
2 66.900134 3.059499 14.37839
3 66.588354 5.221576 15.409798
4 66.588354 8.329336 17.435163
5 66.089203 9.943216 18.308202
6 66.089203 10.65239 18.88126
7 88.223414 11.546659 20.859889
8 66.818216 12.473976 21.189457
9 66.701683 13.524638 21.90947
10 75.474547 16.489355 23.556095
11 75.474547 17.76631 23.531937
12 86.436168 20.377784 24.602047
13 86.436168 27.516389 27.323586
14 87.752892 32.41737 31.34337
15 86.672892 30.490663 32.325378
16 86.672892 40.36798 33.785667
17 86.672892 37.177394 37.870975
18 86.672892 38.33968 34.60697
19 86.672892 39.329035 37.550931
20 86.672892 31.522745 34.242196
21 86.679644 30.629317 35.230604
22 86.679644 38.265024 34.760799
23 86.679644 36.52459 33.676036
24 87.039644 33.69904 33.17404
25 87.039644 30.612833 33.890902
26 87.039644 37.953859 32.126407
27 87.225064 36.906326 35.797062
28 87.225064 35.825754 31.168518
29 87.932892 41.149514 32.719133
30 87.932892 45.143413 34.196956
31 88.185064 38.711107 34.304519
32 88.185064 40.566782 33.197131
33 88.185064 41.702284 34.629233
34 88.965064 46.638641 33.892843
35 88.965064 51.418443 33.779523
36 88.965064 49.763045 34.787333
37 88.965064 54.449005 31.813333
38 88.965064 51.098476 31.546007
39 88.965064 59.349243 31.984186
40 88.965064 52.275425 31.796321
41 88.965064 57.588338 31.54864
42 88.965064 65.739993 29.304764
43 88.965064 61.666398 29.633405
44 88.965064 59.868299 30.336155
45 88.965064 59.390927 31.775776
46 88.965064 58.879161 30.420282
47 88.965064 61.080904 28.765669
48 88.965064 60.86881 28.811361
49 89.085064 63.523111 27.549394
50 88.965064 60.895655 27.848304
