gen best mean std
0 86.148535 3.933007 21.282185
1 87.525869 65.052151 37.087545
2 87.525869 69.174052 34.16042
3 87.525869 72.833303 31.376246
4 87.525869 73.248043 32.132356
5 87.525869 70.891374 33.954993
6 87.525869 75.414486 28.95864
7 87.525869 74.06198 30.36032
8 87.525869 70.343127 33.160007
9 87.525869 80.197733 22.397114
10 87.525869 74.682104 30.138799
11 87.525869 73.328512 30.995921
12 88.936456 79.40373 24.426354
13 88.936456 69.771587 33.189888
14 88.936456 66.671056 35.783757
15 88.936456 74.068352 29.96541
16 91.070703 65.441727 36.43104
17 91.563428 63.673914 39.697263
18 91.563428 67.921578 37.504744
19 91.563428 63.695291 40.805937
20 91.563428 73.975775 36.300539
21 91.563428 68.719691 39.898424
22 91.563428 74.212973 35.620689
23 91.563428 70.253822 38.708751
24 91.563428 74.656549 35.596705
25 91.563428 74.758176 35.490647
26 91.563428 74.008653 35.603681
27 91.563428 72.826071 37.250259
28 91.563428 72.341835 37.002344
29 91.563428 76.852512 33.195908
30 91.563428 77.29222 32.304923
31 91.563428 78.136604 31.941139
32 91.563428 78.080496 32.763428
33 91.563428 75.276171 34.38894
34 91.563428 73.287997 36.638962
35 91.563428 74.316666 35.300611
36 91.563428 71.105286 38.384946
37 91.563428 76.911767 33.611768
38 91.563428 77.217137 33.787334
39 91.563428 76.439422 34.337729
40 91.563428 80.23942 29.203367
41 91.563428 80.010125 29.622354
42 91.563428 74.284959 35.807699
43 91.563428 70.327919 38.931436
44 91.563428 82.354625 27.213214
45 91.563428 74.760689 35.609406
46 91.563428 73.444616 36.45646
47 91.563428 73.012825 36.216782
48 91.563428 76.542165 33.085199
49 91.563428 80.302171 29.906511
50 91.563428 74.614275 35.30857
