gen best mean std
0 88.372977 2.659138 22.25923
1 90.916695 20.569334 32.693395
2 88.879688 35.159571 40.591444
3 88.879688 43.356487 41.519749
4 91.252977 50.364467 39.276517
5 91.252977 51.266159 39.654923
6 91.826285 57.784092 38.037294
7 91.719644 47.310928 39.457021
8 91.252977 44.842135 38.183379
9 91.586285 50.137452 38.551145
10 92.246285 56.538012 38.285313
11 92.246285 54.505486 38.866344
12 92.246285 38.876881 36.150739
13 92.246285 56.665682 38.139906
14 92.306285 55.321679 37.576815
15 92.306285 54.642774 36.968197
16 92.306285 49.326729 36.056372
17 92.306285 51.909449 37.538375
18 92.306285 55.177413 37.306775
19 92.306285 53.192158 37.329372
20 92.306285 49.207091 36.311557
21 92.306285 55.881576 36.723427
22 92.306285 50.524676 38.178081
23 92.306285 56.389993 35.592238
24 92.306285 59.7882 37.374706
25 92.306285 59.494007 37.145571
26 92.306285 63.651799 36.550326
27 92.306285 55.779482 36.406351
28 92.306285 60.880275 35.856185
29 92.306285 53.386213 36.8324
30 92.306285 49.835046 36.995487
31 92.306285 58.653078 36.443652
32 92.306285 55.01638 37.934688
33 92.306285 57.413192 36.856495
34 92.426285 52.591676 37.790968
35 92.426285 56.368578 38.030154
36 92.426285 55.735447 36.883798
37 92.426285 49.168612 36.903667
38 92.426285 43.816417 34.737306
39 92.426285 54.519234 34.33904
40 92.426285 56.217033 36.163879
41 92.426285 56.882159 35.654647
42 92.426285 63.497443 33.72702
43 92.426285 55.190992 35.407342
44 92.426285 46.761643 34.660444
45 92.426285 51.562106 33.603191
46 92.426285 56.396923 34.242582
47 92.426285 49.37502 35.503818
48 92.426285 49.979915 34.868167
49 92.426285 48.790172 34.537837
50 92.426285 42.515967 32.80362
