gen best mean std
0 38.881903 0.682495 11.171631
1 84.198378 8.732119 19.102334
2 84.198378 13.460034 25.189506
3 84.198378 16.604363 28.21082
4 84.198378 19.215988 30.804706
5 88.436685 24.511107 32.165947
6 88.436685 20.37357 32.413082
7 88.436685 24.728619 35.017502
8 88.436685 32.250749 39.0313
9 88.436685 25.219999 34.450411
10 88.436685 26.512762 35.650244
11 88.436685 27.622342 37.284484
12 88.436685 30.743416 36.886096
13 88.436685 30.342904 38.081123
14 88.436685 32.886266 36.753148
15 88.436685 25.798325 33.449647
16 88.436685 33.37916 37.886697
17 88.436685 34.478027 37.733763
18 88.436685 28.181122 35.82054
19 88.436685 23.552684 29.581202
20 88.436685 31.771351 34.432244
21 88.436685 30.636879 33.271911
22 88.436685 35.553688 37.86589
23 88.436685 39.055446 35.76604
24 88.436685 32.440622 35.110427
25 88.436685 33.700497 35.538081
26 88.494211 47.436613 37.178213
27 88.436685 37.829551 35.202511
28 88.436685 36.846551 35.912536
29 88.436685 42.22797 35.703055
30 88.436685 40.54955 36.369783
31 88.436685 39.609507 35.227454
32 88.436685 44.153549 37.169178
33 89.118994 45.51371 35.7401
34 89.118994 40.293398 34.619035
35 89.118994 46.994163 32.854705
36 89.118994 43.45766 32.909484
37 89.118994 41.730468 33.70935
38 89.118994 47.798665 30.005599
39 89.118994 43.232624 34.142428
40 89.118994 46.701479 35.035223
41 89.118994 44.222529 32.985847
42 89.118994 40.671945 34.456418
43 89.118994 48.806811 33.388051
44 89.118994 52.319146 28.517128
45 89.118994 38.466496 29.393932
46 89.118994 36.701732 31.807318
47 89.118994 51.220463 31.768489
48 89.118994 51.915644 27.591998
49 89.118994 46.122048 28.20356
50 89.118994 48.100903 28.57703
