gen best mean std
0 21.44704 -3.368614 4.954303
1 39.620103 16.837828 12.980524
2 39.620103 19.64324 17.461072
3 39.620103 25.071371 17.184367
4 39.620103 26.26436 17.633039
5 39.620103 29.617045 15.573433
6 39.620103 28.554683 16.012511
7 39.620103 23.737742 17.410873
8 39.620103 24.240529 18.191783
9 39.620103 27.302035 16.734701
10 39.785064 28.057235 16.119454
11 39.956575 25.447717 17.939929
12 40.044173 25.986347 17.937675
13 48.548962 22.903514 17.959669
14 48.706695 23.146479 19.629189
15 48.706695 26.026397 21.36477
16 48.706695 34.669376 18.832941
17 48.706695 33.100498 20.731079
18 48.706695 32.735416 19.895574
19 48.706695 35.642913 17.636793
20 48.706695 33.74329 19.360939
21 48.706695 35.434459 19.979023
22 66.73731 33.042647 21.345574
23 48.706695 36.87947 18.524063
24 56.801521 35.910287 20.58323
25 56.801521 33.141745 21.969167
26 56.803556 30.912013 24.718978
27 56.803556 26.383079 28.579506
28 56.803556 29.528538 28.441527
29 56.803556 32.292728 28.079728
30 57.450924 28.212324 28.632047
31 57.450924 24.430121 27.804866
32 57.450924 31.112991 24.253777
33 57.450924 40.2457 21.893048
34 57.450924 33.162763 24.12171
35 57.450924 34.989474 24.003536
36 57.450924 35.719643 20.70303
37 57.450924 34.832505 23.579737
38 57.450924 34.37865 23.987457
39 57.450924 37.477088 20.277267
40 57.450924 34.396823 23.439135
41 57.450924 36.377466 22.630043
42 57.450924 35.575943 22.655136
43 57.450924 37.461936 23.156633
44 57.450924 34.858134 23.292192
45 57.450924 38.629993 22.409452
46 57.450924 37.102237 18.830331
47 57.450924 36.867682 23.307199
48 57.450924 37.731696 22.800524
49 57.450924 35.221116 23.926541
50 57.450924 34.348669 24.633144
