gen best mean std
0 21.301877 -4.659677 5.533943
1 21.358776 6.748859 10.564521
2 33.220489 7.433298 10.916892
3 44.785085 10.061866 12.595531
4 56.65254 11.574679 12.89432
5 63.673599 12.699597 14.90955
6 46.823364 12.776974 13.635511
7 60.741441 14.513766 14.646772
8 70.811608 14.323587 16.846769
9 49.342241 14.623488 15.092385
10 67.891074 12.394467 16.433194
11 49.234379 11.965733 16.037692
12 56.611709 17.229679 15.826628
13 70.972893 19.995491 17.277072
14 70.972893 20.164648 18.269318
15 71.030065 19.176714 19.604774
16 71.030065 26.97731 19.294188
17 63.750836 28.906605 17.321346
18 63.747104 25.933779 18.077593
19 71.264865 27.16768 20.431143
20 70.943786 31.870426 17.954064
21 85.314807 28.388865 22.079292
22 85.314807 31.104235 21.648525
23 85.314807 28.790047 21.100088
24 85.253481 29.389846 20.035996
25 85.253481 29.980872 20.752345
26 70.943786 28.412603 19.43725
27 70.943786 30.385932 21.124974
28 70.943786 26.875051 19.463246
29 71.045491 30.538115 17.871518
30 70.943786 28.931375 18.843659
31 64.094926 26.632231 17.85419
32 60.99685 24.338348 16.047056
33 60.99685 25.163728 15.839533
34 70.50994 22.352992 19.862245
35 71.058053 26.277831 18.886611
36 63.804757 27.121522 19.014149
37 63.804757 27.578289 18.723116
38 63.804757 25.478156 17.082742
39 63.804757 26.391235 17.124813
40 63.804757 27.033666 16.835293
41 63.804757 27.685133 18.121204
42 77.872334 30.336333 19.339606
43 63.804757 27.735979 16.888603
44 78.176081 29.855811 18.274064
45 63.724436 28.312401 17.014054
46 71.151934 27.398261 20.626891
47 70.286053 30.365951 18.865764
48 71.038944 30.155346 16.864488
49 70.689657 31.035367 17.930248
50 70.931973 29.227733 17.727175
