gen best mean std
0 75.494668 6.319937 22.043488
1 74.996113 26.452516 28.077413
2 89.063536 33.783395 28.070801
3 86.042832 31.71603 28.807809
4 84.987729 38.955245 26.215083
5 84.987729 43.197411 26.430027
6 89.728142 41.760075 29.2653
7 88.768142 45.14836 28.466537
8 89.128142 44.432688 29.804932
9 87.991733 41.520703 28.145334
10 88.613263 48.206167 28.374035
11 88.613263 51.47757 30.464873
12 90.863414 56.097689 30.791807
13 90.923414 56.943975 30.544616
14 91.703414 55.372271 30.222134
15 92.076393 62.243975 26.685089
16 92.076393 66.530908 29.044781
17 92.076393 64.824108 29.269681
18 92.076393 58.127919 35.032685
19 92.076393 61.137406 33.572497
20 92.076393 57.192207 34.227081
21 92.076393 49.425491 35.380296
22 92.076393 53.689813 33.088924
23 92.076393 56.121779 33.646471
24 92.076393 55.000601 33.780392
25 92.076393 50.980009 33.854337
26 92.076393 60.067359 33.336149
27 92.486695 60.47713 32.198291
28 92.136393 51.31277 32.212962
29 92.136393 53.032566 33.283918
30 92.076393 57.93053 31.692268
31 92.076393 54.511431 31.410727
32 92.076393 60.010964 30.18117
33 92.076393 59.151059 32.053408
34 92.076393 65.830743 28.930399
35 92.076393 54.524961 35.116647
36 92.076393 59.937644 32.347817
37 92.076393 67.882023 23.899677
38 92.076393 60.36473 30.768375
39 92.076393 60.899663 28.441835
40 92.076393 60.410673 27.410869
41 92.076393 62.807437 26.440402
42 92.076393 63.404081 24.494481
43 92.076393 64.778209 26.404227
44 92.076393 67.433869 24.275213
45 92.076393 63.831272 26.4076
46 92.076393 63.804116 23.74662
47 92.076393 60.093712 22.5965
48 92.076393 67.743995 23.052813
49 92.076393 62.824295 22.908422
50 92.076393 63.831636 22.371889
