gen best mean std
0 86.158586 2.651356 18.568914
1 75.194865 11.710062 22.348672
2 84.749573 10.46777 23.478561
3 84.749573 12.291142 25.452121
4 84.749573 9.399566 23.743858
5 87.869573 15.761519 30.859342
6 87.869573 12.952522 29.052927
7 87.869573 19.280291 35.166733
8 87.869573 24.791652 38.532865
9 87.869573 20.189352 32.019717
10 87.869573 29.750149 40.554798
11 88.95289 18.447546 34.719199
12 88.95289 33.049375 39.786024
13 88.95289 30.200653 40.230677
14 88.95289 32.69458 41.065445
15 88.95289 34.426267 40.913707
16 88.95289 38.781008 41.854087
17 88.95289 33.086627 40.66074
18 88.95289 35.688362 40.915675
19 88.95289 31.669208 39.628364
20 88.95289 29.028498 40.368707
21 88.95289 43.114406 43.294974
22 88.95289 35.793849 42.068709
23 88.95289 42.098318 42.428458
24 88.95289 42.970734 41.023534
25 88.95289 50.996501 41.069305
26 88.95289 47.041369 43.066685
27 88.95289 54.310084 40.668543
28 88.95289 53.493444 41.106509
29 88.95289 52.738887 41.59442
30 88.95289 50.454908 41.065112
31 88.95289 51.947025 40.124452
32 88.95289 63.801244 36.667422
33 88.95289 61.792359 36.966286
34 88.95289 62.472421 36.612202
35 88.95289 68.268195 33.467428
36 88.95289 63.432713 37.667428
37 88.95289 61.861481 36.716282
38 88.95289 63.882672 35.831621
39 88.95289 66.340337 35.582253
40 88.95289 66.406408 33.938079
41 88.95289 65.073131 35.118467
42 88.95289 66.396264 34.69015
43 88.95289 76.418421 23.780823
44 88.95289 75.837464 25.941083
45 88.95289 79.075846 20.998271
46 88.95289 78.654925 20.454081
47 88.95289 75.931319 22.293042
48 88.95289 78.251568 21.084364
49 88.95289 81.709252 10.256924
50 88.95289 83.156477 5.065323
