gen best mean std
0 87.454247 1.34633 14.38586
1 87.454247 68.524419 35.042852
2 87.454247 67.175679 35.096353
3 87.454247 65.745902 35.20945
4 87.454247 65.37438 35.711154
5 87.454247 64.078997 37.355268
6 87.454247 60.94094 37.920864
7 87.454247 66.825501 35.360442
8 87.454247 69.299918 35.235575
9 87.454247 61.276605 38.415263
10 87.454247 69.004542 33.651317
11 87.454247 64.004851 36.639167
12 87.454247 68.668036 35.092371
13 87.454247 66.559871 36.303318
14 87.454247 69.811211 33.07663
15 87.454247 62.530836 36.889223
16 87.454247 54.49694 40.713331
17 87.454247 62.129708 37.245352
18 87.454247 62.143248 37.875489
19 87.454247 57.306892 38.909811
20 87.454247 65.503066 36.218959
21 87.454247 67.054951 34.902154
22 87.454247 59.81842 38.818531
23 87.897975 61.67203 37.306739
24 87.454247 67.117649 35.498125
25 87.454247 64.953674 37.320432
26 87.454247 64.289702 36.442254
27 87.454247 63.95943 36.448966
28 87.454247 67.707884 35.184371
29 87.454247 59.381252 38.420404
30 87.454247 66.18117 35.326366
31 87.454247 64.679098 35.892768
32 87.454247 65.016641 36.821191
33 87.454247 66.765315 35.238024
34 87.454247 61.535387 36.8651
35 87.454247 61.84551 38.41334
36 87.454247 67.692683 34.243302
37 87.454247 64.29859 37.298311
38 87.454247 65.525149 36.053227
39 87.454247 63.425473 37.222105
40 87.454247 61.562833 37.882539
41 87.454247 63.043232 37.576789
42 87.454247 63.544739 35.396209
43 87.454247 61.565705 38.243752
44 87.454247 57.443319 38.772622
45 87.454247 64.145395 35.230034
46 87.454247 59.210928 39.642931
47 87.454247 62.437608 38.379283
48 87.454247 58.609263 39.119587
49 87.454247 61.406885 38.244152
50 87.454247 62.917723 37.557276
