gen best mean std
0 47.670279 1.502042 12.876614
1 65.642158 35.83537 22.649956
2 65.642158 41.211394 24.496151
3 65.642158 44.485025 27.713161
4 65.642158 43.60239 25.239457
5 65.642158 42.957194 26.085116
6 65.642158 44.039756 27.187546
7 85.592245 41.623444 26.244409
8 90.265645 41.49841 28.128952
9 90.265645 43.132543 37.955247
10 90.265645 69.838357 33.276182
11 90.265645 73.600407 30.295857
12 90.265645 70.685149 32.398358
13 90.265645 72.22539 33.498446
14 90.265645 72.651014 32.261878
15 90.265645 71.02819 34.719166
16 90.265645 70.422361 33.682622
17 90.265645 65.586274 36.290751
18 90.265645 71.555882 34.568236
19 90.265645 67.656488 36.323433
20 90.265645 67.512545 35.383614
21 90.265645 70.741919 34.592748
22 90.265645 70.711831 33.309201
23 90.265645 71.638946 31.936861
24 90.265645 72.262398 32.427693
25 90.265645 71.231432 33.591511
26 90.265645 65.581965 38.646148
27 90.265645 72.63201 34.080374
28 90.265645 74.719249 30.020342
29 90.265645 70.558029 34.784278
30 90.265645 72.093728 30.039761
31 90.265645 70.374535 33.9754
32 90.265645 71.399771 33.499649
33 90.265645 68.537524 33.2159
34 90.265645 74.155216 32.083294
35 90.265645 71.175379 31.572844
36 90.265645 70.597461 34.826398
37 90.265645 77.55443 28.95147
38 90.265645 72.999629 32.576867
39 90.265645 66.772811 35.576733
40 90.265645 75.359862 29.237647
41 90.265645 67.811457 34.757287
42 90.265645 71.238306 30.700399
43 90.265645 68.762166 34.558317
44 90.265645 68.11507 36.532465
45 90.265645 70.806079 33.656186
46 90.265645 71.334144 31.952704
47 90.265645 69.364969 34.562745
48 90.265645 72.064498 30.971272
49 90.265645 64.825655 36.567728
50 90.265645 63.77394 37.907736
