gen best mean std
0 30.758253 -3.424508 4.993121
1 39.894055 25.34984 13.622736
2 39.894055 28.297399 14.463
3 39.894055 26.109614 16.575466
4 48.108356 27.695368 17.31803
5 48.216175 25.203487 18.682417
6 66.606372 33.522059 20.989095
7 75.409013 38.594424 23.957676
8 86.91194 43.316506 29.137749
9 86.91194 51.284075 29.489882
10 88.331096 54.821862 32.033956
11 88.331096 55.362138 36.493169
12 88.331096 51.417642 37.1546
13 88.331096 52.376615 39.496783
14 88.331096 48.092384 40.165083
15 88.331096 40.237535 39.800192
16 88.331096 51.386823 41.40863
17 88.331096 47.833166 39.880231
18 88.331096 53.011023 39.817974
19 88.331096 57.297891 38.630979
20 88.331096 53.140713 41.716025
21 88.331096 49.471176 38.9429
22 88.331096 44.321835 38.850658
23 88.331096 53.259697 40.247459
24 88.331096 51.340743 40.695009
25 88.331096 59.639636 38.458499
26 88.331096 54.137384 40.371261
27 88.331096 49.118452 40.011652
28 88.331096 50.286138 39.075822
29 88.331096 50.275405 37.591609
30 88.331096 49.87183 38.936988
31 88.331096 52.92154 39.671259
32 88.331096 51.003635 38.252244
33 88.331096 52.739941 36.594349
34 88.331096 50.512287 38.809808
35 88.331096 54.320061 38.167831
36 88.331096 55.834249 38.799856
37 88.331096 52.004201 37.944587
38 88.331096 47.458347 38.806089
39 88.331096 54.098909 38.551704
40 88.331096 55.660698 39.128542
41 88.331096 48.499472 40.323367
42 88.331096 54.714051 37.972132
43 88.331096 50.954195 38.897186
44 88.331096 42.929518 39.155822
45 88.331096 43.763394 38.258982
46 88.331096 53.188489 39.468662
47 88.331096 53.962658 37.927382
48 88.331096 47.769831 39.325976
49 88.331096 50.870588 39.280786
50 88.331096 45.114185 40.043857
