gen best mean std
0 39.620103 -2.706721 7.100544
1 39.82385 -0.750731 9.776017
2 39.620103 3.068107 12.606754
3 47.681032 3.769065 14.225647
4 86.051732 12.337217 19.284316
5 86.051732 10.225393 19.949397
6 86.051732 13.567355 23.799695
7 86.051732 16.893913 23.164064
8 75.566278 18.598151 23.993824
9 75.566278 18.688213 25.499496
10 87.216168 21.770228 26.444406
11 87.522547 24.426126 29.261187
12 87.522547 27.676687 30.698763
13 87.522547 22.387872 32.474755
14 87.522547 28.083442 34.072843
15 88.965064 27.075729 34.32826
16 88.965064 33.475394 36.908264
17 89.038336 38.972227 35.716628
18 89.038336 40.673481 36.013044
19 89.038336 44.59935 36.751386
20 89.038336 44.833404 37.951683
21 89.038336 39.2879 34.249403
22 89.038336 40.798938 36.911084
23 89.038336 43.478087 35.388552
24 89.038336 46.420532 36.036129
25 89.038336 44.608616 35.358766
26 89.038336 41.25083 34.810525
27 89.038336 47.130249 34.604629
28 89.038336 42.037719 35.839341
29 89.038336 51.481547 36.642612
30 89.038336 51.557813 34.381673
31 89.505064 54.637392 32.132389
32 89.505064 47.438546 33.4141
33 89.505064 53.107646 32.39042
34 89.505064 54.917215 35.367404
35 89.505064 57.996242 33.833466
36 89.505064 51.051404 35.106208
37 89.505064 59.674499 28.921403
38 89.505064 66.051933 27.443189
39 89.505064 59.433683 29.793314
40 89.505064 64.219265 28.248644
41 89.505064 62.594674 31.350118
42 89.505064 64.203472 26.250424
43 89.505064 66.608804 27.288046
44 89.505064 66.495363 25.89532
45 89.505064 66.856377 25.219517
46 89.505064 72.453771 18.832525
47 89.505064 67.569498 21.072065
48 89.505064 70.012881 20.57833
49 89.505064 66.181996 21.087154
50 89.505064 71.911492 18.361943
