gen best mean std
0 22.314089 -4.522508 5.692007
1 48.879054 -0.748807 11.028197
2 68.283595 2.33829 16.631181
3 68.283595 1.144421 17.66208
4 78.081277 5.19778 22.474595
5 78.081277 10.571351 28.605533
6 78.081277 9.157378 27.896375
7 78.081277 5.757426 25.085542
8 78.081277 10.369508 28.169796
9 78.081277 15.83848 33.575322
10 78.081277 10.987799 28.570831
11 78.081277 18.808974 33.548636
12 78.083048 21.095481 35.444741
13 78.083048 16.414426 34.154989
14 78.083048 11.696374 29.935558
15 78.083048 17.637772 34.355707
16 78.097664 20.885887 33.825211
17 78.097664 24.055764 37.088594
18 78.097664 19.480536 31.751379
19 78.097664 24.660201 36.468717
20 78.097664 19.191277 34.916514
21 78.111141 22.492802 33.55939
22 78.111141 31.653535 37.992561
23 78.111141 33.176996 36.791594
24 78.111141 29.30641 35.827917
25 78.321633 38.664178 36.230602
26 78.271674 30.360976 33.632545
27 78.271674 28.091393 35.469247
28 78.271674 35.719993 36.033984
29 78.271674 38.542764 32.741799
30 78.271674 39.466827 32.095233
31 78.271674 32.643719 34.636583
32 78.271674 39.951589 31.554228
33 78.285295 39.655793 33.113163
34 78.285295 32.013941 30.975011
35 78.332345 42.71789 30.173543
36 78.332345 35.989573 31.493278
37 78.332345 39.889864 31.796919
38 78.332345 35.733373 32.019139
39 78.332345 42.941429 30.613878
40 78.332345 42.029618 26.634534
41 78.332345 44.788212 27.089775
42 78.332345 43.582421 24.57447
43 78.332345 41.504881 27.515254
44 78.332345 51.788585 21.799842
45 78.332345 45.000484 20.834691
46 78.332345 44.566104 21.601836
47 78.332345 47.517416 18.947833
48 78.207167 49.518053 17.08535
49 78.332345 48.648171 16.939279
50 78.302291 51.048773 16.434811
