gen best mean std
0 87.583229 5.628585 20.872715
1 83.967552 17.379514 24.11556
2 88.933532 25.401009 25.723008
3 84.819983 35.508762 26.72643
4 84.930703 35.795814 26.720288
5 87.682547 37.850525 29.488156
6 87.682547 37.975902 29.225896
7 87.682547 37.576125 31.047956
8 89.133532 41.64181 28.99643
9 89.133532 46.181141 28.00754
10 89.133532 43.324689 30.644541
11 89.133532 48.682694 31.029794
12 89.133532 48.849929 32.370559
13 89.133532 47.51145 30.669391
14 91.371054 46.971114 31.107098
15 89.571054 48.930936 25.477067
16 89.571054 47.715085 29.43481
17 89.571054 48.895364 31.385601
18 89.571054 53.373681 30.525232
19 89.571054 50.784152 29.781383
20 89.771054 55.471473 29.825133
21 89.771054 50.790382 30.775365
22 89.771054 56.751573 31.669536
23 89.771054 53.516099 32.411638
24 89.771054 49.351432 29.66306
25 90.733532 58.794515 33.089551
26 90.733532 56.809071 29.124064
27 90.733532 55.80143 29.595898
28 90.733532 61.979088 28.175619
29 90.733532 62.066919 27.423618
30 90.733532 60.685313 28.019636
31 90.733532 64.295965 26.72273
32 90.733532 64.666919 27.808486
33 90.733532 57.778892 29.748553
34 90.733532 64.557651 26.185074
35 90.971054 66.358451 24.008089
36 90.971054 64.130035 26.101397
37 90.733532 64.526843 21.972445
38 90.733532 66.201801 22.77868
39 90.733532 60.811069 28.903677
40 90.733532 64.477001 22.204023
41 90.733532 64.701933 22.852362
42 90.733532 69.071749 22.592643
43 90.733532 65.669114 17.945023
44 90.733532 64.691263 20.746713
45 90.733532 64.410916 21.215306
46 90.733532 65.993839 19.558832
47 90.733532 65.990951 19.304947
48 90.733532 64.928607 20.781416
49 90.733532 67.39042 18.214699
50 90.733532 68.284544 17.312183
