gen best mean std
0 66.276415 3.645405 18.849667
1 75.165189 23.842736 27.317418
2 75.159358 27.550566 28.38978
3 75.286267 33.959112 30.184533
4 72.152245 37.070201 28.007573
5 75.028738 41.209819 28.375658
6 90.559465 49.707865 25.934676
7 90.846278 49.457397 29.686473
8 91.578708 56.670569 27.877784
9 91.578708 60.944646 29.045257
10 91.578708 53.42847 31.417739
11 91.578708 52.60581 32.815996
12 91.652892 52.630621 33.38635
13 91.652892 55.655931 31.72914
14 91.652892 62.820252 28.575778
15 91.652892 57.237054 33.237924
16 91.652892 58.763744 31.42285
17 91.772892 73.181148 21.625203
18 91.652892 69.928526 28.290951
19 91.771733 75.661155 21.486347
20 91.771733 72.454341 22.196985
21 91.771733 74.94489 19.476327
22 91.771733 76.971864 18.110138
23 91.771733 79.057302 16.328581
24 91.771733 79.607324 17.184295
25 91.771733 79.043148 18.351535
26 91.771733 78.019892 19.459301
27 91.771733 78.000267 20.755441
28 91.776796 82.392861 15.13866
29 91.776796 82.307246 14.868063
30 91.776796 82.481249 15.06897
31 91.776796 78.448109 17.577801
32 91.776796 77.821736 18.62125
33 91.776796 75.594266 19.814267
34 91.776796 80.327186 16.508748
35 91.776796 80.354659 16.879395
36 91.776796 79.633807 16.938642
37 91.776796 83.413564 12.967216
38 91.776796 81.157634 15.345046
39 91.776796 80.09312 15.90216
40 91.776796 81.139484 16.314669
41 91.776796 83.098787 13.744297
42 91.776796 80.02592 16.730646
43 91.776796 83.08167 13.574618
44 91.776796 84.26343 11.625327
45 91.776796 77.849737 16.694192
46 91.776796 80.442332 15.139611
47 91.776796 80.97069 14.296187
48 91.776796 81.024188 13.924432
49 91.776796 83.281593 11.402582
50 91.776796 82.207055 12.71993
