gen best mean std
0 75.319827 8.347741 24.665044
1 75.494668 30.451347 26.24723
2 85.328738 32.605937 29.316051
3 85.328738 32.978953 28.343929
4 87.2499 39.467717 29.309257
5 90.266695 38.511149 29.158662
6 90.266695 44.709601 28.570743
7 90.991733 44.055382 31.909678
8 90.991733 44.654653 30.698526
9 90.991733 46.161317 28.037193
10 90.991733 53.253377 27.326602
11 91.472892 55.004243 29.231979
12 91.472892 52.331062 28.328405
13 91.472892 55.879066 28.396283
14 91.472892 57.20077 30.457347
15 91.472892 56.336367 32.250252
16 91.472892 56.57657 32.414685
17 91.472892 63.924821 28.488759
18 91.472892 64.60702 28.986148
19 91.472892 59.169439 28.58276
20 91.472892 56.224513 33.829954
21 91.472892 66.144596 27.96417
22 91.472892 60.372791 29.939062
23 91.472892 63.000999 28.322153
24 91.472892 66.575784 28.808637
25 91.472892 65.660697 30.260919
26 91.472892 68.200224 25.716025
27 91.472892 61.17339 30.164145
28 91.472892 66.04212 27.296324
29 91.472892 69.037054 29.051012
30 91.472892 70.019171 27.647256
31 91.472892 65.627028 30.004263
32 91.472892 70.466717 26.589342
33 91.472892 67.362096 27.741949
34 91.472892 69.000743 27.654705
35 91.652892 68.541047 24.485075
36 91.652892 73.140595 23.016241
37 91.652892 69.324412 30.540928
38 91.652892 77.204057 22.074457
39 91.652892 77.80523 21.540546
40 91.652892 79.709502 21.92147
41 91.652892 75.071277 20.384437
42 91.652892 75.982652 23.844183
43 91.652892 77.207037 21.653614
44 91.652892 78.417293 18.528709
45 91.652892 78.605107 19.592804
46 91.652892 77.156657 20.419749
47 91.652892 78.717873 19.842022
48 91.652892 80.929164 17.491548
49 91.652892 77.646872 20.249675
50 91.652892 82.122814 16.014638
