gen best mean std
0 42.4953 -2.589829 9.791856
1 49.45323 8.292825 15.362604
2 56.411318 6.335946 16.162976
3 62.973479 9.163238 17.065356
4 63.39029 12.122181 16.598553
5 78.042516 12.246875 18.92084
6 78.042516 19.719101 20.376143
7 78.042516 20.180877 19.822882
8 78.042516 20.61051 20.339604
9 78.042516 24.798924 22.129479
10 63.691032 25.804621 20.602979
11 63.81861 28.290342 20.046796
12 63.691032 24.125322 19.917026
13 63.691032 23.311228 19.872621
14 78.337219 27.622714 21.656513
15 78.4439 26.706566 21.414828
16 71.071985 24.537719 21.053058
17 63.88248 27.602168 19.690749
18 63.94075 25.7814 19.271132
19 63.765219 29.630877 19.089695
20 63.679926 30.038324 17.806451
21 77.967899 27.181833 19.693608
22 77.967899 30.315866 17.476119
23 78.235153 28.879318 22.189901
24 77.967899 29.226431 20.857014
25 77.967899 31.582893 19.868987
26 78.22343 30.890155 19.709686
27 70.533997 31.587075 18.993416
28 70.866653 31.255713 19.724808
29 63.987982 32.151328 19.37433
30 78.306527 31.116307 22.103516
31 78.306527 26.910442 20.880963
32 63.987982 30.863656 18.968844
33 77.785637 28.652342 18.875785
34 77.886851 31.861461 19.854093
35 77.785637 33.726165 19.776298
36 77.741389 35.191694 18.71399
37 77.741389 33.215733 19.064675
38 78.167643 32.312688 19.898134
39 77.564034 29.910164 17.701915
40 63.940524 33.653194 17.884166
41 63.940524 32.786304 17.94344
42 70.939629 32.089353 17.029361
43 70.438125 34.747689 18.045501
44 78.172827 35.566592 19.241491
45 78.172827 33.596814 18.830715
46 73.144951 33.632959 21.306989
47 78.014544 36.290147 18.707413
48 70.863482 33.489565 17.842652
49 77.645438 34.495622 16.725302
50 77.933893 36.052134 17.874965
