gen best mean std
0 84.08034 -0.001517 12.523397
1 86.333109 60.416861 34.221899
2 86.333109 69.256385 29.611204
3 86.333109 65.950788 33.391412
4 86.693109 66.41456 32.309143
5 86.693109 59.278061 34.82655
6 86.693109 66.447276 31.139438
7 86.693109 64.090232 31.181728
8 86.884687 61.187678 32.144511
9 86.884687 54.901501 36.345373
10 87.004687 52.552952 35.800312
11 87.004687 52.14706 35.736312
12 87.004687 54.721977 32.359695
13 87.004687 56.058086 34.540776
14 87.004687 59.073137 33.912942
15 87.004687 61.851324 32.550985
16 87.004687 68.373889 29.463388
17 87.004687 58.502448 32.732574
18 87.004687 62.932274 32.06838
19 87.004687 53.836772 34.940809
20 87.113828 61.086379 33.612653
21 87.113828 53.986973 35.065329
22 87.113828 55.760646 36.263488
23 87.113828 55.489166 37.163027
24 87.113828 63.231943 34.37567
25 87.113828 66.787379 33.298074
26 87.113828 64.790127 33.069969
27 87.113828 60.661211 34.398527
28 87.953109 59.374341 34.509549
29 87.953109 60.102544 35.163768
30 87.953109 59.949125 37.730716
31 87.953109 61.064573 35.804341
32 87.953109 52.347757 35.983454
33 87.953109 62.081794 31.30149
34 87.953109 63.121261 34.306675
35 87.953109 56.498992 35.377432
36 87.953109 63.915235 34.186329
37 87.953109 61.598008 33.88409
38 87.953109 65.211964 32.576119
39 87.953109 62.277603 34.149344
40 87.953109 54.388756 36.489199
41 87.953109 59.130872 34.916319
42 87.953109 54.679005 34.860143
43 87.953109 62.801941 33.269805
44 87.953109 59.81052 33.963897
45 87.953109 61.415819 34.465032
46 87.953109 59.504018 36.335813
47 87.953109 60.8428 33.212716
48 87.953109 63.702979 34.716451
49 87.953109 57.369523 34.107106
50 87.953109 62.975903 34.215345
