gen best mean std
0 65.807638 -0.982899 13.283245
1 84.922348 15.108814 25.369928
2 86.335744 15.68116 25.770235
3 86.542348 31.725465 29.180653
4 86.542348 27.053969 27.027816
5 86.542348 30.761567 26.673
6 75.282972 35.524959 26.306185
7 86.166677 36.419083 25.735512
8 75.276415 35.130553 25.607491
9 84.811187 34.73573 24.485895
10 86.786611 38.281313 27.529021
11 87.525869 40.196753 26.56885
12 87.950928 43.014383 24.386922
13 86.293573 38.266215 25.844839
14 86.997882 37.612901 26.424591
15 86.535203 41.151828 26.511016
16 86.535203 49.613592 22.990299
17 86.535203 42.563474 25.76376
18 86.535203 41.05977 26.447666
19 86.043246 43.371753 24.577024
20 86.043246 41.730423 27.114334
21 88.026794 44.35631 27.255744
22 86.218586 38.597426 25.994846
23 86.218586 42.325625 23.536998
24 87.139358 44.078056 23.688903
25 88.036695 44.17176 23.245613
26 88.046695 46.668305 21.894819
27 87.139358 42.882171 23.613323
28 88.146794 44.60527 22.92944
29 89.523229 40.318177 26.10446
30 89.523229 45.940374 24.054123
31 75.013548 44.600728 21.434147
32 75.624722 45.025343 21.767588
33 75.486571 44.361785 22.332615
34 89.3639 46.327759 23.190852
35 85.633573 40.78492 23.541927
36 86.997882 39.375944 22.702549
37 89.31289 40.242221 24.974417
38 89.31289 44.484354 24.384506
39 85.888354 41.482513 24.07855
40 88.806794 40.317895 22.765025
41 84.454809 41.195661 21.772207
42 86.972892 47.072272 23.350678
43 89.188142 47.835554 22.367566
44 86.369573 47.555765 21.406982
45 86.335744 47.217786 21.098946
46 87.0839 46.471952 21.045089
47 87.966794 44.269778 22.478264
48 75.234809 45.935469 20.070683
49 86.8899 48.030734 21.16859
50 87.477882 46.16123 22.381255
