gen best mean std
0 75.213103 4.955275 19.443957
1 75.918596 45.302597 28.511679
2 75.918596 55.476032 22.598315
3 75.918596 49.3299 25.782229
4 75.918596 46.965267 27.216356
5 75.918596 50.613293 21.062395
6 75.918596 52.664243 19.140416
7 75.918596 50.226185 19.125094
8 75.918596 51.247156 19.661095
9 75.918596 51.337275 20.039367
10 75.918596 48.899204 21.574798
11 75.918596 45.255653 19.332297
12 75.918596 48.473724 18.587847
13 75.918596 48.916653 19.153906
14 75.918596 49.103611 18.931648
15 75.918596 54.763232 21.010543
16 75.918596 49.033264 20.271142
17 75.918596 51.933515 20.341247
18 75.918596 53.122355 20.589278
19 75.918596 48.774956 20.367251
20 75.918596 50.767434 21.076303
21 75.918596 49.965863 19.912763
22 75.918596 53.678342 20.91295
23 75.918596 52.121844 21.247187
24 75.918596 53.785523 20.54667
25 75.918596 49.776722 22.700553
26 75.918596 51.486627 21.262947
27 75.918596 48.369102 19.452439
28 75.918596 53.996465 21.644502
29 75.918596 46.966374 20.845946
30 75.918596 53.61085 21.210476
31 75.918596 51.595557 19.809659
32 75.918596 52.456688 20.011702
33 75.918596 52.682091 20.795758
34 75.918596 53.628064 20.549197
35 75.918596 43.023201 16.766007
36 75.918596 51.897876 20.862667
37 75.918596 55.018574 20.181789
38 75.918596 50.045965 18.382539
39 75.918596 49.213156 21.064518
40 75.918596 52.672009 20.614252
41 75.918596 49.606937 20.149166
42 75.918596 53.257865 20.113366
43 75.918596 53.625273 21.138297
44 75.918596 49.865431 19.135144
45 75.918596 47.22934 18.797205
46 75.918596 48.160776 21.376218
47 75.918596 53.10747 21.013474
48 75.918596 51.84065 20.274815
49 75.918596 49.411601 21.438358
50 75.918596 52.632608 21.731801
