gen best mean std
0 88.922129 6.590291 23.771447
1 75.340518 25.028753 30.685177
2 90.006278 29.130248 30.6168
3 90.006278 31.045312 29.846459
4 87.517949 43.807339 27.586798
5 89.163246 41.791856 28.603273
6 89.043246 44.962432 28.0686
7 90.186278 47.923423 27.506752
8 90.186278 54.80368 28.776901
9 90.186278 53.129791 29.431279
10 90.186278 53.153382 31.266632
11 91.15505 54.122685 31.808838
12 91.27505 61.14528 27.665301
13 91.15505 58.218643 31.383763
14 91.15505 60.313851 28.486059
15 91.603266 60.729072 28.731504
16 91.603266 60.465917 29.974753
17 91.603266 60.896254 29.856879
18 91.603266 59.532708 30.117487
19 91.603266 57.597522 31.004277
20 91.603266 55.383916 31.308118
21 91.603266 52.461927 35.849979
22 91.603266 53.063154 36.453436
23 92.129567 55.739528 35.699466
24 92.369567 45.783227 37.033198
25 92.369567 52.206259 35.737113
26 92.369567 53.92592 35.011164
27 92.40216 58.117151 32.88181
28 92.369567 54.831227 32.967842
29 92.369567 60.941459 30.096374
30 92.369567 56.619324 34.30831
31 92.369567 54.196357 34.305796
32 92.369567 49.851908 34.304686
33 92.396119 59.590639 31.731272
34 92.396119 54.546795 33.398627
35 92.396119 65.794814 30.145377
36 92.396119 60.554273 33.156472
37 92.396119 69.195135 29.275646
38 92.396119 71.659013 24.413915
39 92.396119 75.167486 24.090561
40 92.396119 77.365886 22.861261
41 92.396119 81.877857 13.623847
42 92.396119 79.249638 19.292247
43 92.396119 80.05285 20.266278
44 92.396119 79.379838 17.844768
45 92.396119 81.074119 17.396717
46 92.396119 80.164643 15.521217
47 92.396119 80.799642 13.958762
48 92.396119 82.163276 13.419718
49 92.396119 83.23164 10.63672
50 92.396119 81.559893 11.056427
