gen best mean std
0 87.357882 8.402397 28.757591
1 92.426285 54.586678 40.091002
2 92.426285 64.05344 38.703978
3 92.426285 69.484751 34.955664
4 92.426285 75.303612 31.87652
5 92.426285 79.42012 26.450765
6 92.426285 78.994537 27.357243
7 92.426285 76.964593 31.049326
8 92.426285 71.055251 34.469166
9 92.426285 71.453945 34.374146
10 92.426285 70.934386 35.364765
11 92.426285 74.961805 32.26279
12 92.426285 79.293626 26.552518
13 92.426285 73.536875 33.801158
14 92.426285 69.643413 34.622833
15 92.426285 74.799306 31.141904
16 92.426285 77.119739 30.39274
17 92.426285 80.080891 26.295684
18 92.426285 71.96459 34.68188
19 92.426285 78.406882 27.345429
20 92.426285 75.325049 32.418694
21 92.426285 78.699186 28.40531
22 92.426285 76.749303 29.404062
23 92.426285 79.730506 25.928685
24 92.426285 70.589971 35.52743
25 92.426285 77.007435 28.861948
26 92.426285 77.622792 28.715714
27 92.426285 76.429467 31.889983
28 92.426285 73.763998 33.327703
29 92.426285 74.89287 31.72498
30 92.426285 67.318755 37.268095
31 92.426285 72.858011 32.837443
32 92.426285 77.663936 28.794872
33 92.426285 76.914349 28.3921
34 92.426285 74.180911 32.405226
35 92.426285 75.348141 30.832805
36 92.426285 70.434141 33.66303
37 92.426285 77.868165 28.540985
38 92.426285 79.379439 25.681895
39 92.65505 80.48979 25.512542
40 92.65505 75.701855 29.47343
41 92.65505 72.019247 35.120743
42 92.65505 75.919513 33.759921
43 92.65505 71.740136 36.089732
44 92.65505 77.017765 33.164626
45 92.65505 77.476879 32.460811
46 92.65505 76.669146 33.305099
47 92.65505 76.598752 33.70952
48 92.65505 77.069276 33.279864
49 92.65505 73.456247 36.526913
50 92.65505 77.903157 31.607408
