gen best mean std
0 66.282972 2.515013 16.059314
1 66.864202 29.587295 24.191817
2 66.864202 32.203562 25.328116
3 66.864202 37.207826 25.410457
4 66.894055 38.707032 22.98695
5 66.894055 51.430392 18.614701
6 66.894055 43.145595 19.107424
7 66.894055 46.667074 18.750562
8 66.894055 45.214161 18.947744
9 66.894055 46.908795 18.797143
10 66.894055 50.207035 18.740181
11 66.894055 47.008485 19.045758
12 66.894055 48.780159 18.323484
13 66.894055 46.935028 18.357007
14 66.894055 45.276519 19.58054
15 66.894055 43.529917 20.460643
16 66.894055 46.503375 19.383244
17 66.894055 47.627994 19.18142
18 88.142129 47.421461 20.654715
19 88.142129 50.327646 21.083516
20 88.142129 45.412476 25.890891
21 90.01704 56.95554 24.346126
22 90.01704 66.437961 25.2397
23 90.01704 70.889745 22.883665
24 90.01704 78.217944 20.091554
25 90.01704 79.823159 18.117992
26 90.01704 84.426038 12.324995
27 90.01704 86.442033 6.001883
28 90.01704 85.241385 11.899688
29 90.01704 85.331759 7.85556
30 90.01704 85.467889 9.460396
31 90.01704 85.538271 9.144077
32 90.01704 85.87021 8.224914
33 90.01704 86.53702 8.410452
34 90.01704 85.566457 8.874515
35 90.01704 86.140481 7.063389
36 90.01704 83.913623 15.215152
37 90.01704 86.196991 8.267589
38 90.01704 85.104876 9.370007
39 90.01704 84.908856 11.937967
40 90.01704 85.512154 11.605729
41 90.01704 85.885706 10.115807
42 90.01704 85.819898 7.706819
43 90.01704 86.170074 9.434084
44 90.01704 86.058877 7.669922
45 90.01704 86.991801 3.008601
46 90.01704 87.052425 2.099256
47 90.01704 86.120895 8.241901
48 90.01704 86.169262 7.400766
49 90.01704 86.098594 4.024908
50 90.01704 86.770632 5.966238
