gen best mean std
0 30.36521 -0.884307 9.852852
1 30.540414 6.534202 15.413414
2 39.136369 10.722039 15.789455
3 74.904175 10.631325 18.189845
4 83.967552 9.996809 23.788133
5 83.967552 17.511894 28.185656
6 83.967552 23.279251 34.742011
7 83.967552 23.885209 35.261866
8 83.967552 26.740396 36.283079
9 83.967552 19.381197 32.326359
10 83.967552 18.347788 30.937523
11 83.967552 19.147608 33.386341
12 83.967552 28.904134 35.757398
13 83.967552 21.783892 32.284881
14 83.967552 30.005565 37.141602
15 83.967552 27.78096 34.088224
16 83.967552 29.432393 35.41335
17 83.967552 23.622872 32.231437
18 83.967552 30.253441 37.28755
19 83.967552 24.569502 33.576034
20 83.967552 26.727777 36.829621
21 83.967552 32.0441 35.165616
22 83.967552 23.466809 33.653389
23 83.967552 37.072943 39.035735
24 83.967552 32.018083 36.586669
25 83.967552 34.474857 36.09852
26 83.967552 35.842018 38.257899
27 83.967552 27.461146 32.985791
28 83.967552 34.800405 36.953728
29 83.967552 33.411582 35.364732
30 83.967552 35.587112 36.768583
31 83.967552 33.406173 35.263031
32 83.967552 33.859215 36.550373
33 83.967552 43.639669 35.515955
34 83.967552 40.159136 36.707918
35 83.967552 38.248405 36.088415
36 83.967552 41.226887 35.156418
37 83.967552 40.682279 35.307347
38 83.967552 37.176952 33.353232
39 83.967552 48.148428 33.919035
40 83.967552 40.294074 31.482594
41 83.967552 38.150124 31.02552
42 83.967552 34.52995 32.530456
43 83.967552 47.275502 29.345328
44 83.967552 43.866083 32.583608
45 83.967552 40.793451 32.072011
46 83.967552 42.814708 30.644295
47 83.967552 37.444939 31.760007
48 83.967552 39.899947 30.74151
49 83.967552 40.83483 31.135678
50 83.967552 42.170861 30.089692
