gen best mean std
0 87.249397 5.644846 24.887926
1 91.375982 64.594145 36.464099
2 89.002972 62.579197 36.327116
3 89.002972 57.410057 38.45454
4 89.002972 53.581669 38.430618
5 89.002972 63.516516 29.720048
6 89.002972 61.155668 28.140806
7 89.002972 68.608118 26.099645
8 89.002972 65.003992 27.110966
9 89.002972 66.619875 25.649091
10 89.002972 64.029558 28.183288
11 89.002972 70.240367 24.800285
12 89.002972 66.155658 26.973705
13 89.002972 62.792919 25.090725
14 89.362972 68.414058 25.3727
15 89.362972 64.385949 26.518013
16 89.362972 67.556328 26.357267
17 89.662972 81.58587 16.775957
18 89.362972 85.902984 9.844091
19 89.362972 86.530804 10.900248
20 89.362972 85.995486 11.951998
21 89.362972 87.759905 6.777284
22 89.362972 86.878182 10.832309
23 89.362972 86.30111 13.161907
24 89.362972 86.179573 13.158482
25 89.362972 84.001461 18.774404
26 89.362972 87.735711 8.506394
27 89.362972 87.569593 7.860132
28 89.362972 87.045167 9.543681
29 89.362972 87.673748 6.772106
30 90.762547 86.409072 13.187615
31 89.362972 85.331875 15.789377
32 89.362972 87.028849 9.076258
33 89.362972 85.628285 15.077694
34 89.362972 87.377228 6.278712
35 89.362972 87.595338 8.487411
36 89.362972 85.327552 16.038434
37 89.362972 86.754025 12.546698
38 89.362972 87.713347 8.523756
39 89.362972 85.949162 14.62921
40 89.362972 87.957777 4.17048
41 89.362972 87.445984 7.761133
42 89.362972 86.612364 11.349856
43 89.362972 87.192012 9.845425
44 89.362972 87.241712 8.711222
45 89.362972 85.685616 14.478214
46 89.362972 85.38358 15.602541
47 89.362972 87.609364 8.514734
48 89.362972 86.57558 11.680792
49 89.362972 87.024052 9.600209
50 89.669573 88.248349 2.462149
